Sample_ID,Temperature,DO,pH,Turbidity,BOD,Conductivity,Ammonia,Nitrate,Hardness,COD,CO2,Alkalinity,Activity_Level,Disease_Risk,Status
1,29.4901424590337,6.61141305703797,8.059742174634401,37.78361076166638,2.8248217250256182,495.6490397775625,0.0210630930547131,1.1541922737356434,145.46025580140264,10.206107719066125,2.576240317977297,242.18855253320024,63.85918641766912,0.3627215590482621,Healthy
2,27.585207096486446,7.791299968564156,7.869853473165108,24.488142836714665,3.355481329284482,527.4547728426289,0.14675379870645977,0.6118059662146091,178.75186044243665,8.237456552796388,2.546585891616146,231.99243907395876,68.6906916626221,0.2522160764569179,Healthy
3,29.94306561430208,3.8217189114170305,7.52385214796807,21.81801116577693,2.7075800790000386,423.4953293453342,0.2003673359894027,0.8135668126999949,180.72067488177785,7.0820580510621,1.204356827369985,209.92421961798226,65.57939816425755,0.6092470109127636,Unhealthy
4,32.569089569224076,6.175563084028685,7.241225288917771,29.96625542589048,3.1920384703609597,401.02106123937995,0.47652251888082287,0.8153593705643256,198.90521383373624,17.064994560688987,2.669909808298563,117.07894587845374,69.52004181258862,0.48432121686594015,Healthy
5,27.29753987582999,4.719228917053807,7.779289325445436,28.298153774750716,1.6063853330462143,363.1879578753761,0.316786374944051,0.6494647421565405,125.32566546876694,13.929661511360694,3.732829081821745,170.9829716266738,72.85849689288811,0.4577480315425832,Healthy
6,27.29758912915246,4.915449539482365,7.6573941541687,25.46771950672725,3.7132937073729386,383.9671576016836,0.08974221170801305,0.3882603356347698,203.70269095389324,16.897026988025548,1.7257678809232049,250.50684648704078,83.37154486331384,0.58303867971219,Healthy
7,32.737638446522176,4.789127290913357,7.858077288011093,36.963874474567156,3.5012054753622244,685.927554024698,0.30832435473011643,0.8968923510853005,71.824334735889,18.452363430607566,4.048482651050593,136.92679821304984,71.78840961294297,0.6734243388884162,Unhealthy
8,30.302304187458727,4.463211076384221,7.754068720672787,39.553052085705104,2.6829113689318094,549.5743664589429,0.06432352132739613,0.781698808443385,154.80461790544757,16.32808496586267,3.4877748210843382,48.09384102495119,59.14374293230407,0.5744282004454989,Healthy
9,26.591576842195146,5.558225953533793,7.919821086127734,30.884068862918472,4.159245668432405,341.91405070335827,0.37992292646644876,0.950072140830971,160.46904630193822,18.28881588075187,2.265766678028962,186.37363953314443,86.4006784649516,0.6306693876471557,Unhealthy
10,29.627680130757895,4.502859860306755,7.285905915375773,44.77530081055262,4.437570137626558,344.2033634605144,0.19346504178185459,0.6399199080682499,205.33307304284955,14.652338568788654,2.8584703626621524,191.4945467583477,66.6290986638496,0.8026868256607351,Unhealthy
11,26.609746921562614,5.824548190935807,8.026957626253731,18.58310885866495,1.8924401356310259,488.54928493747934,0.2387636573512995,1.1662463896439144,180.90523410707476,9.065033058471277,4.5983218076410335,208.13380498488254,74.41279572895371,0.3303539346738513,Healthy
